Month_of_Order_Date,Category,Target
Apr-18,Furniture,10400
May-18,Furniture,10500
Jun-18,Furniture,10600
Jul-18,Furniture,10800
Aug-18,Furniture,10900
Sep-18,Furniture,11000
Oct-18,Furniture,11100
Nov-18,Furniture,11300
Dec-18,Furniture,11400
Jan-19,Furniture,11500
Feb-19,Furniture,11600
Mar-19,Furniture,11800
Apr-18,Clothing,12000
May-18,Clothing,12000
Jun-18,Clothing,12000
Jul-18,Clothing,14000
Aug-18,Clothing,14000
Sep-18,Clothing,14000
Oct-18,Clothing,16000
Nov-18,Clothing,16000
Dec-18,Clothing,16000
Jan-19,Clothing,16000
Feb-19,Clothing,16000
Mar-19,Clothing,16000
Apr-18,Electronics,9000
May-18,Electronics,9000
Jun-18,Electronics,9000
Jul-18,Electronics,9000
Aug-18,Electronics,9000
Sep-18,Electronics,9000
Oct-18,Electronics,9000
Nov-18,Electronics,9000
Dec-18,Electronics,9000
Jan-19,Electronics,16000
Feb-19,Electronics,16000
Mar-19,Electronics,16000
